adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,weighted_rating
False,581,en,Dances with Wolves,wounded civil war soldier john dunbar tries to commit suicideand becomes a hero instead as a reward hes assigned to his dream post a remote junction on the western frontier and soon makes unlikely friends with the local sioux tribe,9.8993,1990-03-30,Dances with Wolves,7.837,4649,1990,7.138052452253554
False,55721,en,Bridesmaids,annies life is a mess but when she finds out her lifetime best friend is engaged she simply must serve as lillians maid of honor though lovelorn and broke annie bluffs her way through the expensive and bizarre rituals with one chance to get it perfect shell show lillian and her bridesmaids just how far youll go for someone you love,8.3492,2011-05-13,Bridesmaids,6.506,4649,2011,6.6588372017966275
False,1701,en,Con Air,newlyparoled former us army ranger cameron poe is headed back to his wife but must fly home aboard a prison transport flight dubbed jailbird taking the worst of the worst prisoners a group described as pure predators to a new superprison poe faces impossible odds when the transport plane is skyjacked midflight by the most vicious criminals in the country led by the mastermind  genius serial killer cyrus the virus grissom and backed by black militant diamond dog and psychopath billy bedlam,10.3917,1997-06-05,Con Air,6.769,4647,1997,6.753525722245537
False,76,en,Before Sunrise,an unexpected meeting on a train leads two travelers to spend an evening wandering through vienna as the night unfolds they share stories and conversations about life and love exploring new ideas while a quiet intimacy grows between them knowing it may be their only night together,8.633,1995-01-27,Before Sunrise,7.973,4638,1995,7.186347953282496
False,1061474,en,Superman,superman a journalist in metropolis embarks on a journey to reconcile his kryptonian heritage with his human upbringing as clark kent,31.3715,2025-07-09,Superman,7.341,4636,2025,6.959087359449183
False,109418,en,Grown Ups 2,lenny has relocated his family back to the small town where he and his friends grew up this time around the grown ups are the ones learning lessons from their kids on a day notoriously full of surprisesthe last day of school,9.5296,2013-07-11,Grown Ups 2,6.14,4632,2013,6.527572272630456
False,302401,en,Snowden,cia employee edward snowden leaks thousands of classified documents to the press,4.913,2016-09-15,Snowden,7.109,4630,2016,6.875598793528377
False,785084,en,The Whale,a reclusive english teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption,8.502,2022-12-09,The Whale,7.773,4626,2022,7.113835669967476
False,123553,en,The Mortal Instruments: City of Bones,in new york city clary fray a seemingly ordinary teenager learns that she is descended from a line of shadowhunters  halfangel warriors who protect humanity from evil forces after her mother disappears clary joins forces with a group of shadowhunters and enters downworld an alternate realm filled with demons vampires and a host of other creatures clary and her companions must find and protect an ancient cup that holds the key to her mothers future,8.7079,2013-08-21,The Mortal Instruments: City of Bones,6.428,4625,2013,6.631131520163773
False,508965,en,Klaus,a selfish postman and a reclusive toymaker form an unlikely friendship delivering joy to a cold dark town that desperately needs it,5.974,2019-11-08,Klaus,8.223,4623,2019,7.275119853836509
False,10137,en,Stuart Little,when the littles adopt stuart the mouse george is initially unwelcoming to his new brother and the family cat snowbell is even less enthusiastic stuart resolves to face these difficulties with as much pluck and courage as he can muster,6.9839,1999-12-17,Stuart Little,6.068,4622,1999,6.502046617449112
False,399035,en,The Commuter,a businessman on his daily commute home gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him,6.0074,2018-01-11,The Commuter,6.363,4621,2018,6.607882282797707
False,1903,en,Vanilla Sky,david aames has it all wealth good looks and gorgeous women on his arm but just as he begins falling for the warmhearted sofia his face is horribly disfigured in a car accident thats just the beginning of his troubles as the lines between illusion and reality between life and death are blurred,7.3376,2001-12-14,Vanilla Sky,6.819,4619,2001,6.771419648860366
False,49046,de,Im Westen nichts Neues,paul baumer and his friends albert and muller egged on by romantic dreams of heroism voluntarily enlist in the german army full of excitement and patriotic fervour the boys enthusiastically march into a war they believe in but once on the western front they discover the souldestroying horror of world war i,8.1782,2022-10-07,All Quiet on the Western Front,7.716,4616,2022,7.092894970610338
False,381341,it,Perfetti sconosciuti,during a dinner a group of friends decide to share whatever message or phone call they will receive during the evening with unforeseen consequences,4.0484,2016-02-11,Perfect Strangers,7.855,4616,2016,7.142712819267884
False,227156,en,The Giver,in a seemingly perfect community without war pain suffering differences or choice a young boy is chosen to learn from an elderly man about the true pain and pleasure of the real world,5.8923,2014-08-13,The Giver,6.555,4614,2014,6.676809409079378
False,840,en,Close Encounters of the Third Kind,after an encounter with ufos an electricity linesman feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen,7.211,1977-12-14,Close Encounters of the Third Kind,7.349,4607,1977,6.961090446643366
False,305470,en,Power Rangers,five ordinary teens must become something extraordinary when they learn that their small town of angel grove  and the world  is on the verge of being obliterated by an alien threat chosen by destiny our heroes quickly discover they are the only ones who can save the planet but to do so they will have to overcome their reallife issues and before its too late band together as the power rangers,5.6387,2017-03-23,Power Rangers,6.248,4606,2017,6.567008833704662
False,823464,en,Godzilla x Kong: The New Empire,following their explosive showdown godzilla and kong must reunite against a colossal undiscovered threat hidden within our world challenging their very existence  and our own,17.5505,2024-03-27,Godzilla x Kong: The New Empire,7.046,4604,2024,6.852585563865177
False,9800,en,Philadelphia,two competing lawyers join forces to sue a prestigious law firm for aids discrimination as their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries,5.9892,1993-12-22,Philadelphia,7.716,4602,1993,7.092216913930292
False,325133,en,Neighbors 2: Sorority Rising,a sorority moves in next door to the home of mac and kelly radner who have a young child the radners enlist their former nemeses from the fraternity to help battle the raucous sisters,5.8615,2016-05-04,Neighbors 2: Sorority Rising,5.815,4594,2016,6.412593952469301
False,63311,es,La piel que habito,a brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage his guinea pig a mysterious and volatile woman who holds the key to his obsession,6.093,2011-08-17,The Skin I Live In,7.489,4585,2011,7.0103857666696845
